REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator.
Cooling hot foods saves energy 	 talks about 	 Cooling hot foods
Cooling hot foods saves energy 	 talks about 	 energy
Cooling hot foods 	 saves 	 energy
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks about 	 Refrigerated foods
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks about 	 preserved
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks about 	 longer
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks about 	 stored in the freezer
Refrigerated foods 	 will stay 	 preserved
Refrigerated foods 	 will stay 	 longer
Refrigerated foods 	 preserved if 	 stored in the freezer
Refrigerated foods 	 will stay if 	 stored in the freezer
you are leaving the refrigerator turned off for an extended period 	 talks about 	 turned off for an extended period
you are leaving the refrigerator turned off for an extended period 	 talks about 	 the refrigerator
you are leaving the refrigerator turned off for an extended period 	 talks about 	 an extended period
the refrigerator 	 turned off for 	 an extended period
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks about 	 food packaging
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks about 	 prevent adjacent foods from being contaminated
food packaging 	 should be wiped down to 	 prevent adjacent foods from being contaminated
the refrigerator is kept in a hot and humid place 	 talks about 	 the refrigerator
the refrigerator is kept in a hot and humid place 	 talks about 	 a humid place
the refrigerator is kept in a hot and humid place 	 talks about 	 a hot place
the refrigerator 	 is kept in 	 a humid place
the refrigerator 	 is kept in 	 a hot place
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks about 	 frequent opening of the door or storing a lot of vegetables in the refrigerator
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks about 	 condensation to form
frequent opening of the door or storing a lot of vegetables in the refrigerator 	 may cause 	 condensation to form
doors are opened or closed too often 	 talks about 	 doors
doors are opened or closed too often 	 talks about 	 too often
doors 	 closed 	 too often
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks about 	 warm air
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks about 	 the refrigerator
warm air 	 may penetrate 	 the refrigerator
you are leaving home for a short period, like a short vacation 	 talks about 	 home
you are leaving home for a short period, like a short vacation 	 talks about 	 a short period
sentence_list_63 	 talks about 	 Your freezer will not quick-freeze a large quantity of food.
sentence_list_63 	 talks about 	 Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ).
sentence_list_63 	 talks about 	 Leave enough space in Your freezer for air to circulate around packages.
sentence_list_63 	 talks about 	 Be careful to leave enough room at the front so the door can close tightly.
sentence_list_63 	 talks about 	 Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature.
sentence_list_63 	 talks about 	 Ice crystals inside a sealed package are normal.
sentence_list_63 	 talks about 	 are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals.
Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ). 	 talks about 	 than will freeze within 24 hours no more than 2 to 3 pounds of food per cubic foot of freezer space
Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ). 	 talks about 	 Do not put more unfrozen food into Your freezer
Leave enough space in Your freezer for air to circulate around packages. 	 talks about 	 for air to circulate around packages
Leave enough space in Your freezer for air to circulate around packages. 	 talks about 	 Leave enough space in Your freezer
Be careful to leave enough room at the front so the door can close tightly. 	 talks about 	 the door can close tightly
Be careful to leave enough room at the front so the door can close tightly. 	 talks about 	 Be careful to leave enough room at the front
Be careful to leave enough room at the front 	 Result 	 the door can close tightly
Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature. 	 talks about 	 how airtight and moisture-proof
Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature. 	 talks about 	 Storage times will vary according to the quality and type of food, the type of packaging or wrap used and the storage temperature
are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals. 	 talks about 	 moisture in the food and air inside a sealed package have condensed, creating ice crystals
are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals. 	 talks about 	 are simply means
are simply means 	 that 	 moisture in the food and air inside a sealed package have condensed , creating ice crystals
Do not put more unfrozen food into Your freezer 	 paraphrase 	 more unfrozen food should not be put into Your freezer
more unfrozen food should not be put into Your freezer 	 talks about 	 more unfrozen food
more unfrozen food should not be put into Your freezer 	 talks about 	 into Your freezer
more unfrozen food 	 should not be put 	 into Your freezer
Leave enough space in Your freezer 	 paraphrase 	 enough space should be leaved in Your freezer
enough space should be leaved in Your freezer 	 talks about 	 enough space
enough space should be leaved in Your freezer 	 talks about 	 in Your freezer
enough space 	 should be leaved 	 in Your freezer
Your freezer will not quick-freeze a large quantity of food. 	 talks about 	 Your freezer
Your freezer will not quick-freeze a large quantity of food. 	 talks about 	 freeze a large quantity of food
Your freezer 	 will not quick 	 freeze a large quantity of food
Ice crystals inside a sealed package are normal. 	 talks about 	 Ice crystals inside a sealed package
Ice crystals inside a sealed package are normal. 	 talks about 	 normal
Ice crystals inside a sealed package 	 are 	 normal
more unfrozen food should not be put into Your freezer 	 talks about 	 Your freezer
more unfrozen food 	 should not be put into 	 Your freezer
for air to circulate around packages 	 talks about 	 air
for air to circulate around packages 	 talks about 	 packages
air 	 to circulate 	 packages
enough space should be leaved in Your freezer 	 talks about 	 Your freezer
enough space 	 should be leaved in 	 Your freezer
sentence_list_64 	 talks about 	 Successful freezing depends on correct packaging.
sentence_list_64 	 talks about 	 When you close and seal the package, the package must not allow air or moisture in or out.
sentence_list_64 	 talks about 	 If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.
sentence_list_64 	 talks about 	 Follow package or container instructions for proper freezing methods.
When you close and seal the package, the package must not allow air or moisture in or out. 	 talks about 	 you close and seal the package
When you close and seal the package, the package must not allow air or moisture in or out. 	 talks about 	 the package must not allow air or moisture in or out
the package must not allow air or moisture in or out 	 Synchronous 	 you close and seal the package
If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food. 	 talks about 	 the package does
If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food. 	 talks about 	 you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 Condition 	 the package does
the package does 	 Follows 	 you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food
Follow package or container instructions for proper freezing methods. 	 paraphrase 	 package or container instructions for proper freezing methods should be followed 
Successful freezing depends on correct packaging. 	 talks about 	 Successful freezing
Successful freezing depends on correct packaging. 	 talks about 	 correct packaging
Successful freezing 	 depends on 	 correct packaging
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks about 	 taste transfer throughout the refrigerator
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks about 	 food odor
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks about 	 frozen food
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks about 	 the refrigerator
sentence_list_65 	 talks about 	 Rigid plastic containers with tight-fitting lids Straight-sided canning/freezing jars Heavy-duty aluminum foil Plastic-coated paper Non-permeable plastic wraps Specified freezer-grade self-sealing plastic bags
Rigid plastic containers with tight-fitting lids Straight-sided canning/freezing jars Heavy-duty aluminum foil Plastic-coated paper Non-permeable plastic wraps Specified freezer-grade self-sealing plastic bags 	 talks about 	 paper
Rigid plastic containers with tight-fitting lids Straight-sided canning/freezing jars Heavy-duty aluminum foil Plastic-coated paper Non-permeable plastic wraps Specified freezer-grade self-sealing plastic bags 	 talks about 	 Specified freezer-grade self-sealing plastic bags
paper 	 wraps 	 Specified freezer-grade self-sealing plastic bags
sentence_list_66 	 talks about 	 Bread wrappers Non-polyethylene plastic containers Containers without tight lids Wax paper or wax-coated freezer wrap Thin, semi-permeable wrap
sentence_list_67 	 talks about 	 Humidity Controlled Crispers is only available on some models.
sentence_list_67 	 talks about 	 Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer.
Humidity Controlled Crispers is only available on some models. 	 talks about 	 Humidity Controlled Crispers
Humidity Controlled Crispers is only available on some models. 	 talks about 	 some models
Humidity Controlled Crispers is only available on some models. 	 talks about 	 only available
Humidity Controlled Crispers 	 is only available on 	 some models
Humidity Controlled Crispers 	 is 	 only available
Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer. 	 talks about 	 Humidity
Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer. 	 talks about 	 Crispers
Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer. 	 talks about 	 Humidity Controlled Crispers
Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer. 	 talks about 	 fresher vegetables
Humidity Controlled Crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer. 	 talks about 	 fresher tasting fruit
Humidity 	 Controlled 	 Crispers
Humidity Controlled Crispers 	 provide 	 fresher vegetables
Humidity Controlled Crispers 	 provide 	 fresher tasting fruit
sentence_list_68 	 talks about 	 Vegetables keeps moist air in the crisper for best storage of fresh, leafy vegetables.
sentence_list_68 	 talks about 	 Fruit lets moist air out of the crisper for best storage of fruit.
Vegetables keeps moist air in the crisper for best storage of fresh, leafy vegetables. 	 talks about 	 Vegetables
Vegetables keeps moist air in the crisper for best storage of fresh, leafy vegetables. 	 talks about 	 the crisper for best storage of fresh, leafy vegetables
Vegetables keeps moist air in the crisper for best storage of fresh, leafy vegetables. 	 talks about 	 moist air
Vegetables 	 keeps moist air in 	 the crisper for best storage of fresh, leafy vegetables
Vegetables 	 keeps 	 moist air
sentence_list_69 	 talks about 	 Open the doors completely and remove the contents of the Door-in-Door case.
sentence_list_69 	 talks about 	 Lift up and pull out the Door-in-Door case.
sentence_list_69 	 talks about 	 The Door-in-Door feature is only available on some models.
sentence_list_69 	 talks about 	 Pull out the crisper to full extension, lift the front up, and pull straight out.
sentence_list_69 	 talks about 	 Lift the front of the cover up with both hands until the cover detaches from the back wall of the cabinet, then pull the cover out.
sentence_list_69 	 talks about 	 Slightly tilt up the front, insert the crisper into the frame and push the crisper back into place.
sentence_list_69 	 talks about 	 Line up the tabs on the Door-in-Door case with the slots on the door and push down until the Door-in-Door case snaps into place.
Lift the front of the cover up with both hands until the cover detaches from the back wall of the cabinet, then pull the cover out. 	 talks about 	 the cover detaches from the back wall of the cabinet
Lift the front of the cover up with both hands until the cover detaches from the back wall of the cabinet, then pull the cover out. 	 talks about 	 Lift the front of the cover up with both hands, then pull the cover out
Lift the front of the cover up with both hands , then pull the cover out 	 Precedence 	 the cover detaches from the back wall of the cabinet
Line up the tabs on the Door-in-Door case with the slots on the door and push down until the Door-in-Door case snaps into place. 	 talks about 	 the Door-in-Door case snaps into place
Line up the tabs on the Door-in-Door case with the slots on the door and push down until the Door-in-Door case snaps into place. 	 talks about 	 Line up the tabs on the Door-in-Door case with the slots on the door and push down
Line up the tabs on the Door-in-Door case with the slots on the door and push down 	 Precedence 	 the Door-in-Door case snaps into place
Line up the tabs on the Door-in-Door case with the slots on the door and push down 	 paraphrase 	 the tabs on the Door-in-Door case with the slots on the door and push down should be lined up
the tabs on the Door-in-Door case with the slots on the door and push down should be lined up 	 talks about 	 the tabs on the Door-in-Door case with the slots on the door and push down
The Door-in-Door feature is only available on some models. 	 talks about 	 The Door-in-Door feature
The Door-in-Door feature is only available on some models. 	 talks about 	 only available
The Door-in-Door feature 	 is 	 only available
Slightly tilt up the front, insert the crisper into the frame and push the crisper back into place. 	 talks about 	 the front, insert
Slightly tilt up the front, insert the crisper into the frame and push the crisper back into place. 	 talks about 	 the crisper
Slightly tilt up the front, insert the crisper into the frame and push the crisper back into place. 	 talks about 	 back into place
the front, insert 	 push 	 the crisper
the front, insert 	 push the crisper 	 back into place
the cover detaches from the back wall of the cabinet 	 talks about 	 the cover
the cover detaches from the back wall of the cabinet 	 talks about 	 the back wall of the cabinet
the cover 	 detaches from 	 the back wall of the cabinet
the Door-in-Door case snaps into place 	 talks about 	 the Door-in-Door case
the Door-in-Door case snaps into place 	 talks about 	 place
the Door-in-Door case 	 snaps into 	 place
sentence_list_70 	 talks about 	 Open the doors completely and remove the contents of the Door-in-Door case.
sentence_list_70 	 talks about 	 Lift up and pull out the Door-in-Door case.
sentence_list_70 	 talks about 	 The Door-in-Door feature is only available on some models.
sentence_list_70 	 talks about 	 Pull out the crisper to full extension, lift the front up, and pull straight out.
sentence_list_70 	 talks about 	 Lift the front of the cover up with both hands until the cover detaches from the back wall of the cabinet, then pull the cover out.
sentence_list_70 	 talks about 	 Slightly tilt up the front, insert the crisper into the frame and push the crisper back into place.
sentence_list_70 	 talks about 	 Line up the tabs on the Door-in-Door case with the slots on the door and push down until the Door-in-Door case snaps into place.
sentence_list_71 	 talks about 	 This function provides storage space with a variable temperature control that can keep the compartment at a slightly different temperature than the refrigerator section.
sentence_list_71 	 talks about 	 This drawer can be used for large party trays, deli items and beverages.
sentence_list_71 	 talks about 	 ( This drawer should not be used to store vegetables that require high humidity. )
sentence_list_71 	 talks about 	 Press the Select button to choose between Produce ( Cold ), Deli ( Colder ) and Meat ( Coldest ).
This function provides storage space with a variable temperature control that can keep the compartment at a slightly different temperature than the refrigerator section. 	 talks about 	 can keep the compartment at a slightly different temperature than the refrigerator section
This function provides storage space with a variable temperature control that can keep the compartment at a slightly different temperature than the refrigerator section. 	 talks about 	 This function provides storage space with a variable temperature control
This function provides storage space with a variable temperature control 	 that 	 can keep the compartment at a slightly different temperature than the refrigerator section
( This drawer should not be used to store vegetables that require high humidity. ) 	 talks about 	 require high humidity
( This drawer should not be used to store vegetables that require high humidity. ) 	 talks about 	 This drawer should not be used to store vegetables
This drawer should not be used to store vegetables 	 that 	 require high humidity
Press the Select button to choose between Produce ( Cold ), Deli ( Colder ) and Meat ( Coldest ). 	 paraphrase 	 the Select button should be pressed to choose between Produce Cold, Deli Colder and Meat Coldest
the Select button should be pressed to choose between Produce Cold, Deli Colder and Meat Coldest 	 talks about 	 the Select button
the Select button should be pressed to choose between Produce Cold, Deli Colder and Meat Coldest 	 talks about 	 to choose between Produce Cold, Deli Colder and Meat Coldest
the Select button 	 should be pressed 	 to choose between Produce Cold, Deli Colder and Meat Coldest
require high humidity 	 paraphrase 	 high humidity should be required 
This drawer can be used for large party trays, deli items and beverages. 	 talks about 	 This drawer
This drawer can be used for large party trays, deli items and beverages. 	 talks about 	 large party trays
This drawer can be used for large party trays, deli items and beverages. 	 talks about 	 large beverages
This drawer can be used for large party trays, deli items and beverages. 	 talks about 	 large deli items
This drawer 	 can be used for 	 large party trays
This drawer 	 can be used for 	 large beverages
This drawer 	 can be used for 	 large deli items
the Select button should be pressed to choose between Produce Cold, Deli Colder and Meat Coldest 	 talks about 	 choose between Produce Cold, Deli Colder and Meat Coldest
the Select button 	 should be pressed to 	 choose between Produce Cold, Deli Colder and Meat Coldest
This function provides storage space with a variable temperature control 	 talks about 	 This function
This function provides storage space with a variable temperature control 	 talks about 	 storage space
This function 	 provides 	 storage space
This drawer should not be used to store vegetables 	 talks about 	 This drawer
This drawer should not be used to store vegetables 	 talks about 	 vegetables
This drawer should not be used to store vegetables 	 talks about 	 store vegetables
This drawer 	 to store 	 vegetables
This drawer 	 should not be used to 	 store vegetables
sentence_list_72 	 talks about 	 Do not place any items on the Glide'N'Serve cover.
Do not place any items on the Glide'N'Serve cover. 	 paraphrase 	 any items should not be placed on the Glide'N'Serve cover
any items should not be placed on the Glide'N'Serve cover 	 talks about 	 any items
any items should not be placed on the Glide'N'Serve cover 	 talks about 	 on the Glide'N'Serve cover
any items 	 should not be placed 	 on the Glide'N'Serve cover
any items should not be placed on the Glide'N'Serve cover 	 talks about 	 the Glide'N'Serve cover
any items 	 should not be placed on 	 the Glide'N'Serve cover
sentence_list_73 	 talks about 	 To remove the Glide'N'Serve, pull out the drawer until the drawer stops, lift the front up, and pull straight out.
To remove the Glide'N'Serve, pull out the drawer until the drawer stops, lift the front up, and pull straight out. 	 talks about 	 the Glide'N'Serve
To remove the Glide'N'Serve, pull out the drawer until the drawer stops, lift the front up, and pull straight out. 	 talks about 	 pull out the drawer until the drawer stops lift the front up and pull straight out
the Glide'N'Serve 	 should be removed by 	 pull out the drawer until the drawer stops lift the front up and pull straight out
sentence_list_74 	 talks about 	 To remove the Glide'N'Serve, pull out the drawer until the drawer stops, lift the front up, and pull straight out.
sentence_list_75 	 talks about 	 Refrigerator Shelves are adjustable to meet individual storage needs.
sentence_list_75 	 talks about 	 Adjusting Refrigerator Shelves to fit items of different heights will make finding the exact item you want easier.
Adjusting Refrigerator Shelves to fit items of different heights will make finding the exact item you want easier. 	 talks about 	 you want easier
Adjusting Refrigerator Shelves to fit items of different heights will make finding the exact item you want easier. 	 talks about 	 Adjusting Refrigerator Shelves to fit items of different heights will make finding the exact item
Refrigerator Shelves are adjustable to meet individual storage needs. 	 talks about 	 Refrigerator Shelves
Refrigerator Shelves are adjustable to meet individual storage needs. 	 talks about 	 adjustable to meet individual storage needs
Refrigerator Shelves are adjustable to meet individual storage needs. 	 talks about 	 individual storage needs
Refrigerator Shelves 	 are 	 adjustable to meet individual storage needs
Refrigerator Shelves 	 to meet 	 individual storage needs
you want easier 	 talks about 	 easier
sentence_list_76 	 talks about 	 Folding Shelf is only available on some models.
sentence_list_76 	 talks about 	 Store taller items, such as a gallon container or bottles, by pushing the front half of the shelf underneath the back half of the shelf.
sentence_list_76 	 talks about 	 Pull the front half of the shelf forward to return to a full shelf.
Store taller items, such as a gallon container or bottles, by pushing the front half of the shelf underneath the back half of the shelf. 	 paraphrase 	 taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 taller items, such as a gallon container or bottles,
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 by pushing the front half of the shelf underneath the back half of the shelf
taller items, such as a gallon container or bottles, 	 should be stored 	 by pushing the front half of the shelf underneath the back half of the shelf
Pull the front half of the shelf forward to return to a full shelf. 	 paraphrase 	 the front half of the shelf should be pulled forward to return to a full shelf
the front half of the shelf should be pulled forward to return to a full shelf 	 talks about 	 the front half of the shelf
the front half of the shelf should be pulled forward to return to a full shelf 	 talks about 	 forward to return to a full shelf
the front half of the shelf 	 should be pulled 	 forward to return to a full shelf
Folding Shelf is only available on some models. 	 talks about 	 Folding Shelf
Folding Shelf is only available on some models. 	 talks about 	 only available
Folding Shelf is only available on some models. 	 talks about 	 some models
Folding Shelf 	 is 	 only available
Folding Shelf 	 is only available on 	 some models
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 taller items, such as a gallon container or bottles
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 the back half of the shelf
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 the front half of the shelf
taller items, such as a gallon container or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks about 	 pushing the front half of the shelf underneath the back half of the shelf
taller items, such as a gallon container or bottles 	 by pushing the front half of the shelf underneath 	 the back half of the shelf
taller items, such as a gallon container or bottles 	 by pushing 	 the front half of the shelf
taller items, such as a gallon container or bottles 	 should be stored by 	 pushing the front half of the shelf underneath the back half of the shelf
the front half of the shelf should be pulled forward to return to a full shelf 	 talks about 	 return to a full shelf
the front half of the shelf should be pulled forward to return to a full shelf 	 talks about 	 forward
the front half of the shelf should be pulled forward to return to a full shelf 	 talks about 	 a full shelf
the front half of the shelf 	 should be pulled forward to 	 return to a full shelf
the front half of the shelf 	 should be pulled 	 forward
the front half of the shelf 	 to return to 	 a full shelf
sentence_list_77 	 talks about 	 Glass shelves are heavy.
sentence_list_77 	 talks about 	 Use special care when removing Glass shelves.
sentence_list_77 	 talks about 	 Do not clean glass shelves with warm water while glass shelves are cold.
sentence_list_77 	 talks about 	 Shelves may break if exposed to sudden temperature changes or impact.
Use special care when removing Glass shelves. 	 talks about 	 removing Glass shelves
Use special care when removing Glass shelves. 	 talks about 	 Use special care
Use special care 	 Synchronous 	 removing Glass shelves
Do not clean glass shelves with warm water while glass shelves are cold. 	 talks about 	 glass shelves are cold
Do not clean glass shelves with warm water while glass shelves are cold. 	 talks about 	 Do not clean glass shelves with warm water
Do not clean glass shelves with warm water 	 Synchronous 	 glass shelves are cold
Shelves may break if exposed to sudden temperature changes or impact. 	 talks about 	 exposed to sudden temperature changes or impact
Shelves may break if exposed to sudden temperature changes or impact. 	 talks about 	 Shelves may break
Shelves may break 	 Condition 	 exposed to sudden temperature changes or impact
exposed to sudden temperature changes or impact 	 Follows 	 Shelves may break
Use special care 	 paraphrase 	 special care should be used 
Do not clean glass shelves with warm water 	 paraphrase 	 glass shelves should not be cleaned with warm water
glass shelves should not be cleaned with warm water 	 talks about 	 glass shelves
glass shelves should not be cleaned with warm water 	 talks about 	 with warm water
glass shelves 	 should not be cleaned 	 with warm water
Glass shelves are heavy. 	 talks about 	 Glass shelves
Glass shelves are heavy. 	 talks about 	 heavy
Glass shelves 	 are 	 heavy
glass shelves are cold 	 talks about 	 glass shelves
glass shelves are cold 	 talks about 	 cold
glass shelves 	 are 	 cold
glass shelves should not be cleaned with warm water 	 talks about 	 warm water
glass shelves 	 should not be cleaned with 	 warm water
sentence_list_78 	 talks about 	 Do not clean glass shelves with warm water while glass shelves are cold.
sentence_list_78 	 talks about 	 Shelves may break if exposed to sudden temperature changes or impact.
sentence_list_79 	 talks about 	 Pull the shelf out.
sentence_list_79 	 talks about 	 Lower the front of the shelf so that the shelf hooks drop into the slots.
sentence_list_79 	 talks about 	 Make sure that shelves are level from one side to the other.
sentence_list_79 	 talks about 	 Failure to do so may result in the shelf falling or spilled food.
Pull the shelf out. 	 paraphrase 	 the shelf should be pulled out
the shelf should be pulled out 	 talks about 	 the shelf
Lower the front of the shelf so that the shelf hooks drop into the slots. 	 talks about 	 the shelf hooks drop into the slots
Lower the front of the shelf so that the shelf hooks drop into the slots. 	 talks about 	 Lower the front of the shelf
Lower the front of the shelf 	 Result 	 the shelf hooks drop into the slots
Make sure that shelves are level from one side to the other. 	 talks about 	 shelves are level from one side to the other
Make sure that shelves are level from one side to the other. 	 talks about 	 Make sure
Make sure 	 that 	 shelves are level from one side to the other
Lower the front of the shelf 	 paraphrase 	 the front of the shelf should be lowered 
Failure to do so may result in the shelf falling or spilled food. 	 talks about 	 Failure to do so
Failure to do so may result in the shelf falling or spilled food. 	 talks about 	 the shelf falling or spilled food
Failure to do so 	 may result in 	 the shelf falling or spilled food
the shelf hooks drop into the slots 	 talks about 	 the shelf
the shelf hooks drop into the slots 	 talks about 	 the slots
the shelf 	 hooks drop into 	 the slots
shelves are level from one side to the other 	 talks about 	 shelves
shelves are level from one side to the other 	 talks about 	 level from one side to the other
shelves 	 are 	 level from one side to the other
sentence_list_80 	 talks about 	 Do not clean glass shelves with warm water while glass shelves are cold.
sentence_list_80 	 talks about 	 Shelves may break if exposed to sudden temperature changes or impact.
sentence_list_81 	 talks about 	 Pull the shelf out.
sentence_list_81 	 talks about 	 Lower the front of the shelf so that the shelf hooks drop into the slots.
sentence_list_81 	 talks about 	 Make sure that shelves are level from one side to the other.
sentence_list_81 	 talks about 	 Failure to do so may result in the shelf falling or spilled food.
sentence_list_82 	 talks about 	 Door-in-Door is only available on some models.
sentence_list_82 	 talks about 	 The Door-in-Door compartment allows for easy access to commonly used food items.
Door-in-Door is only available on some models. 	 talks about 	 Door-in-Door
Door-in-Door is only available on some models. 	 talks about 	 only available
Door-in-Door is only available on some models. 	 talks about 	 some models
Door-in-Door 	 is 	 only available
Door-in-Door 	 is only available on 	 some models
The Door-in-Door compartment allows for easy access to commonly used food items. 	 talks about 	 The Door-in-Door compartment
The Door-in-Door compartment allows for easy access to commonly used food items. 	 talks about 	 easy access to commonly used food items
The Door-in-Door compartment 	 allows for 	 easy access to commonly used food items
sentence_list_83 	 talks about 	 To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle.
To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle. 	 talks about 	 Door Compartment
To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle. 	 talks about 	 -in-lightly press the button on the right refrigerator door handle
Door Compartment 	 should be accessed by 	 -in-lightly press the button on the right refrigerator door handle
sentence_list_84 	 talks about 	 The Door-in-Door inner and outer door bins are removable for easy cleaning.
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks about 	 The Door-in-Door inner door bins
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks about 	 removable for easy cleaning
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks about 	 The Door-in-Door outer door bins
The Door-in-Door inner door bins 	 are 	 removable for easy cleaning
The Door-in-Door outer door bins 	 are 	 removable for easy cleaning
sentence_list_85 	 talks about 	 To remove the door bins, lift up and pull out.
To remove the door bins, lift up and pull out. 	 talks about 	 the door bins
To remove the door bins, lift up and pull out. 	 talks about 	 lift up and pull out
the door bins 	 should be removed by 	 lift up and pull out
sentence_list_85 	 talks about 	 To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place.
To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place. 	 talks about 	 the door bins
To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place. 	 talks about 	 slide the door bin in above the desired support and push down until the door bin snaps into place
the door bins 	 should be replaced by 	 slide the door bin in above the desired support and push down until the door bin snaps into place
sentence_list_86 	 talks about 	 To open Door-in-Door Case, press on the area marked Pull to open.
To open Door-in-Door Case, press on the area marked Pull to open. 	 talks about 	 Door
To open Door-in-Door Case, press on the area marked Pull to open. 	 talks about 	 -in-Door Case press on the area marked Pull to open
Door 	 should be opened by 	 -in-Door Case press on the area marked Pull to open
sentence_list_86 	 talks about 	 Door-in-Door Case is removable for easy cleaning and adjustment.
Door-in-Door Case is removable for easy cleaning and adjustment. 	 talks about 	 Door-in-Door Case
Door-in-Door Case is removable for easy cleaning and adjustment. 	 talks about 	 removable for easy cleaning
Door-in-Door Case is removable for easy cleaning and adjustment. 	 talks about 	 removable for easy adjustment
Door-in-Door Case 	 is 	 removable for easy cleaning
Door-in-Door Case 	 is 	 removable for easy adjustment
sentence_list_87 	 talks about 	 To remove Door-in-Door Case, lift up and pull out.
To remove Door-in-Door Case, lift up and pull out. 	 talks about 	 Door
To remove Door-in-Door Case, lift up and pull out. 	 talks about 	 -in-Door Case lift up and pull out
Door 	 should be removed by 	 -in-Door Case lift up and pull out
sentence_list_87 	 talks about 	 To replace Door-in-Door Case, line up the tabs on Door-in-Door Case with the slots on the door and push down until Door-in-Door Case snaps into place.
To replace Door-in-Door Case, line up the tabs on Door-in-Door Case with the slots on the door and push down until Door-in-Door Case snaps into place. 	 talks about 	 Door
To replace Door-in-Door Case, line up the tabs on Door-in-Door Case with the slots on the door and push down until Door-in-Door Case snaps into place. 	 talks about 	 -in-Door Case line up the tabs on Door-in-Door Case with the slots on the door and push down until Door-in-Door Case snaps into place
Door 	 should be replaced by 	 -in-Door Case line up the tabs on Door-in-Door Case with the slots on the door and push down until Door-in-Door Case snaps into place
sentence_list_88 	 talks about 	 The door bins are removable for easy cleaning and adjustment.
The door bins are removable for easy cleaning and adjustment. 	 talks about 	 The door bins
The door bins are removable for easy cleaning and adjustment. 	 talks about 	 removable for easy adjustment
